LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
B1	achieve	verb	work_career	достигать	To succeed in doing something after effort.	She worked hard and finally achieved her goal of becoming a doctor.
B1	career	noun	work_career	карьера	The series of jobs or work you do over your working life.	He decided to change his career and become a teacher.
B1	experience	noun	work_career	опыт	Knowledge or skill gained from doing something over time.	The job required at least three years of relevant experience.
B1	skill	noun	work_career	навык	An ability to do something well after training or practice.	Good communication skills are essential for this role.
B1	manage	verb	work_career	управлять	To be in charge of people or a business.	She manages a team of twelve people in the sales department.
B1	colleague	noun	work_career	коллега	A person you work with in your job.	Her colleagues surprised her with a cake on her last day.
B1	promote	verb	work_career	повышать (по службе)	To give someone a higher position in their job.	She was promoted to senior manager after three years.
B1	apply	verb	work_career	подавать заявку	To make a formal request for a job or a place at a university.	He applied for the position as soon as he saw the advertisement.
B1	earn	verb	work_career	зарабатывать	To receive money as payment for work.	She earns enough money to live comfortably in the city.
B1	retire	verb	work_career	выходить на пенсию	To stop working permanently because you have reached a certain age.	He retired at sixty-five after forty years with the same company.
B1	environment	noun	nature	окружающая среда	The natural world, including land, air, water, and all living things.	We must take care of the environment for future generations.
B1	pollution	noun	nature	загрязнение	Harmful substances in the air, water, or land.	Air pollution in the city has reached dangerous levels this summer.
B1	climate	noun	nature	климат	The typical weather conditions in an area over a long period.	The climate in the south of the country is warm and dry.
B1	recycle	verb	nature	перерабатывать	To process used materials so they can be used again.	She recycles glass, paper, and plastic every week.
B1	waste	noun	nature	отходы	Things that are no longer needed and thrown away.	The factory was fined for dumping waste into the river.
B1	energy	noun	nature	энергия	Power from fuel or electricity used to operate machines and heat buildings.	The house gets all its energy from solar panels on the roof.
B1	natural	adjective	nature	природный	Existing in or produced by nature, not made by people.	The valley was full of natural beauty that took her breath away.
B1	wildlife	noun	nature	дикая природа	Animals and plants living in natural conditions.	The national park protects the wildlife of the region.
B1	species	noun	nature	вид (биологический)	A group of animals or plants of the same type that can breed together.	Several species of butterfly are endangered in this region.
B1	forest	noun	nature	лес	A large area of land covered with many trees.	The Amazon forest is the largest tropical forest on Earth.
B1	travel	verb	travel	путешествовать	To make a journey from one place to another.	She loves to travel and has visited over thirty countries.
B1	journey	noun	travel	путешествие/поездка	The act of travelling from one place to another.	The journey from London to Edinburgh takes about five hours by train.
B1	destination	noun	travel	пункт назначения	The place you are travelling to.	Rome was her dream destination for a summer holiday.
B1	accommodation	noun	travel	жильё/проживание	A place where you stay when you are away from home.	They found cheap accommodation in a small guesthouse.
B1	reservation	noun	travel	бронирование	An arrangement made in advance to keep something for you.	He made a reservation at the restaurant for six o'clock.
B1	local	adjective	travel	местный	Belonging to or connected with a particular area.	She asked a local person for directions to the museum.
