LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
A2	shop	noun	shopping	магазин	A building where goods are sold to customers.	She went to the shop on the corner to buy some bread.
A2	price	noun	shopping	цена	The amount of money you pay to buy something.	The price of petrol has gone up again this month.
A2	money	noun	shopping	деньги	Coins and notes used to buy things.	He saved his money for three months to buy the new phone.
A2	pay	verb	shopping	платить	To give money in exchange for goods or services.	She paid for her groceries with a credit card.
A2	sell	verb	shopping	продавать	To give something to someone in exchange for money.	He sells handmade jewellery at the weekend market.
A2	cheap	adjective	shopping	дешёвый	Costing little money; not expensive.	The market sells cheap fruit and vegetables.
A2	expensive	adjective	shopping	дорогой	Costing a lot of money.	The restaurant was too expensive so they went somewhere else.
A2	cash	noun	shopping	наличные	Money in the form of coins and notes rather than cards.	He paid in cash because the card machine was broken.
A2	receipt	noun	shopping	чек	A piece of paper showing what you bought and how much you paid.	Keep your receipt in case you need to return the item.
A2	sale	noun	shopping	распродажа	A time when goods are sold at reduced prices.	She bought the coat in the January sale for half price.
A2	bus	noun	transport	автобус	A large road vehicle that carries passengers on a fixed route.	She takes the bus to work because parking is difficult.
A2	train	noun	transport	поезд	A vehicle that travels on rails carrying passengers or goods.	The train to London departs at nine fifteen.
A2	car	noun	transport	автомобиль	A motor vehicle with four wheels used to transport people.	He bought a second-hand car when he passed his driving test.
A2	taxi	noun	transport	такси	A car with a driver that you pay to take you somewhere.	She called a taxi to take her to the airport.
A2	airport	noun	transport	аэропорт	A place where aircraft take off and land, with buildings for passengers.	They arrived at the airport two hours before their flight.
A2	ticket	noun	transport	билет	A piece of paper or card that shows you have paid to travel or enter somewhere.	He bought a return ticket to Edinburgh for the weekend.
A2	station	noun	transport	вокзал	A place where buses or trains stop to let people get on and off.	She waited at the station for the next train to arrive.
A2	platform	noun	transport	платформа	The long flat area beside a railway track where passengers stand.	The train to Manchester leaves from platform four.
A2	drive	verb	transport	водить (машину)	To operate and control a vehicle.	He drove for three hours before stopping for a break.
A2	fly	verb	transport	лететь	To travel through the air in an aircraft.	She flew to Paris for a long weekend.
A2	sunny	adjective	weather	солнечный	Bright with light from the sun.	It was a sunny day so they had lunch in the garden.
