LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
C1	abolish	verb	law_politics	отменять	To formally put an end to a law, system, or practice.	The government voted to abolish the death penalty.
C1	legislation	noun	law_politics	законодательство	A law or set of laws passed by a parliament.	New legislation was passed to protect workers' rights.
C1	jurisdiction	noun	law_politics	юрисдикция	The official power to make legal decisions in a particular area.	The crime was outside the jurisdiction of the local court.
C1	precedent	noun	law_politics	прецедент	An earlier event or decision that serves as an example for future cases.	The ruling set an important precedent for environmental law.
C1	prosecute	verb	law_politics	преследовать в судебном порядке	To take legal action against someone accused of a crime.	The company was prosecuted for dumping chemicals in the river.
C1	verdict	noun	law_politics	вердикт	The decision made by a jury at the end of a trial.	The jury returned a verdict of not guilty after three days.
C1	testimony	noun	law_politics	показания	A formal statement made under oath in a court of law.	Her testimony was crucial in convicting the defendant.
C1	amendment	noun	law_politics	поправка	A change made to a law, document, or plan.	Congress passed an amendment to the constitution.
C1	constitution	noun	law_politics	конституция	The set of fundamental laws and principles of a country.	The right to free speech is protected by the constitution.
C1	sovereignty	noun	law_politics	суверенитет	The authority of a state to govern itself without outside interference.	The island declared sovereignty from its colonial ruler.
C1	elaborate	verb	academic_discourse	разрабатывать подробно	To give more details or explanation about something.	She asked him to elaborate on his reasons for resigning.
C1	articulate	verb	academic_discourse	чётко выражать	To express thoughts or feelings clearly in words.	He was able to articulate the complex idea in simple terms.
C1	assert	verb	academic_discourse	утверждать	To state something confidently and forcefully.	She asserted that the new evidence proved her client's innocence.
C1	contradict	verb	academic_discourse	противоречить	To say the opposite of what someone else has said.	The new findings contradict earlier research on the subject.
C1	discourse	noun	academic_discourse	дискурс	Written or spoken discussion of a subject.	There has been much public discourse about the ethics of AI.
C1	implication	noun	academic_discourse	подтекст/следствие	Something that is suggested without being stated directly.	The implications of the study are far-reaching for public health policy.
C1	paradigm	noun	academic_discourse	парадигма	A typical example or model of something; a way of thinking.	The discovery caused a paradigm shift in our understanding of physics.
C1	premise	noun	academic_discourse	предпосылка	A previous statement from which a conclusion is drawn.	The argument rests on the premise that all people are rational.
C1	coherent	adjective	academic_discourse	последовательный	Logical and consistent; easy to understand.	She presented a coherent argument that convinced the committee.
C1	ambiguous	adjective	academic_discourse	двусмысленный	Open to more than one interpretation; unclear.	The wording of the contract was ambiguous and led to a dispute.
C1	deteriorate	verb	change	ухудшаться	To become worse in quality or condition.	His health deteriorated rapidly over the winter months.
C1	escalate	verb	change	обострять(ся)	To become more serious or intense.	The dispute escalated into a full diplomatic crisis.
C1	sap	verb	change	подтачивать/истощать	To gradually weaken or drain the strength from something.	Years of austerity sapped morale throughout the public sector.
C1	nurture	verb	change	взращивать/поддерживать	To care for and encourage the development of something.	Good leadership nurtures talent and creates opportunities for growth.
C1	trigger	verb	change	запускать/вызывать	To cause something to happen.	The stress of the job triggered a serious health problem.
C1	sustain	verb	change	поддерживать	To keep something going over time.	It was difficult to sustain the level of enthusiasm in the long term.
C1	consolidate	verb	change	консолидировать	To combine things or make them stronger.	The company consolidated its operations into a single headquarters.
C1	evolve	verb	change	эволюционировать	To develop gradually over time.	The role of the manager has evolved significantly over the past decade.
C1	disrupt	verb	change	нарушать/разрушать	To prevent something from continuing normally.	The strike disrupted train services across the entire region.
C1	accelerate	verb	change	ускорять	To make something happen faster.	Investment in infrastructure can accelerate economic growth.
C1	entrepreneurship	noun	business_advanced	предпринимательство	The activity of setting up and running businesses.	The university offers a course in entrepreneurship for business students.
C1	monopoly	noun	business_advanced	монополия	A situation in which one company controls an entire market.	The regulator broke up the company's monopoly on internet services.
C1	compliance	noun	business_advanced	соблюдение (требований)	The act of obeying laws, rules, or regulations.	The company invested heavily in compliance to avoid legal penalties.
C1	procurement	noun	business_advanced	закупки	The process of obtaining goods or services for a business.	The procurement department negotiates contracts with suppliers.
C1	liability	noun	business_advanced	ответственность (правовая)	Legal responsibility for something, especially paying a debt.	The company accepted liability for the accident and paid compensation.
C1	subsidiary	noun	business_advanced	дочерняя компания	A company controlled by a larger company.	The bank operates through several subsidiaries in different countries.
C1	liquidate	verb	business_advanced	ликвидировать	To close down a company and sell its assets to pay debts.	The firm was liquidated after years of mounting losses.
C1	dividend	noun	business_advanced	дивиденд	A share of a company's profits paid to shareholders.	Investors received a generous dividend at the end of the financial year.
C1	audit	noun	business_advanced	аудит	An official examination of an organisation's accounts.	The company commissioned an independent audit of its finances.
C1	incentive	noun	business_advanced	стимул	Something that motivates or encourages someone to do something.	The government offered tax incentives to attract foreign investment.
C1	empirical	adjective	science	эмпирический	Based on observation and evidence rather than theory.	The study provided empirical evidence to support the hypothesis.
C1	hypothesis	noun	science	гипотеза	An idea that needs to be tested to see if it is true.	She designed an experiment to test her hypothesis about sleep.
C1	variable	noun	science	переменная	A factor that can change in an experiment or situation.	The researchers controlled all variables except the one being tested.
C1	correlation	noun	science	корреляция	A connection between two things where one affects the other.	There is a strong correlation between poverty and poor health outcomes.
C1	synthesis	noun	science	синтез	The combination of elements to form a new whole.	The paper provides a synthesis of recent research on the topic.
C1	phenomenon	noun	science	феномен	An observable fact or event, especially an unusual one.	The aurora borealis is a stunning natural phenomenon.
C1	organism	noun	science	организм	A living thing such as a plant, animal, or bacterium.	The lake is home to thousands of microscopic organisms.
C1	molecular	adjective	science	молекулярный	Relating to molecules, the smallest units of a substance.	Advances in molecular biology have transformed medicine.
C1	genetic	adjective	science	генетический	Relating to genes and inherited characteristics.	The condition has a strong genetic component that runs in families.
C1	cognitive	adjective	science	когнитивный	Relating to conscious mental processes such as thinking and memory.	Cognitive skills like reasoning and memory improve with practice.
C1	rhetoric	noun	language_advanced	риторика	The art of using language persuasively and effectively.	The politician's rhetoric was powerful but lacked substance.
C1	metaphor	noun	language_advanced	метафора	A word or phrase used in a non-literal sense to describe something.	She used the metaphor of a journey to describe her recovery.
C1	irony	noun	language_advanced	ирония	The use of words to mean the opposite of their usual meaning.	There was a deep irony in the fact that the doctor smoked.
C1	nuance	noun	language_advanced	нюанс	A subtle difference in meaning, expression, or sound.	The translator had to capture every nuance of the original text.
C1	connotation	noun	language_advanced	коннотация	An idea or feeling associated with a word beyond its literal meaning.	The word 'home' has warm connotations of safety and family.
C1	eloquent	adjective	language_advanced	красноречивый	Able to express ideas clearly and in a way that influences people.	She gave an eloquent speech that moved many in the audience to tears.
C1	verbose	adjective	language_advanced	многословный	Using more words than necessary; long-winded.	His report was too verbose and needed to be cut by half.
C1	concise	adjective	language_advanced	краткий	Giving necessary information using few words.	Please write a concise summary of no more than two hundred words.
C1	explicit	adjective	language_advanced	явный/откровенный	Stated clearly and in detail, leaving nothing implied.	The contract was explicit about the penalties for late payment.
C1	implicit	adjective	language_advanced	подразумеваемый	Suggested but not stated directly.	There was an implicit understanding that she would take over the role.
C1	humanitarian	adjective	global_issues	гуманитарный	Relating to efforts to improve human welfare and reduce suffering.	The organisation launched a humanitarian mission to the disaster zone.
C1	infrastructure	noun	global_issues	инфраструктура	The basic systems and services of a country such as roads and power.	Poor infrastructure is one of the biggest barriers to economic growth.
C1	migration	noun	global_issues	миграция	The movement of people from one place to another.	Climate change is expected to drive large-scale migration in the future.
C1	epidemic	noun	global_issues	эпидемия	A widespread occurrence of an infectious disease.	The cholera epidemic spread rapidly through the refugee camps.
C1	sanction	noun	global_issues	санкция	An official punishment or restriction imposed on a country.	The international community imposed sanctions on the rogue state.
C1	regime	noun	global_issues	режим	A government, especially one that controls people strictly.	Citizens suffered under the oppressive regime for decades.
C1	diplomacy	noun	global_issues	дипломатия	The management of international relations through negotiation.	The crisis was resolved through careful diplomacy rather than force.
C1	intervene	verb	global_issues	вмешиваться	To become involved in a difficult situation to improve it.	The UN intervened to stop the fighting between the two factions.
C1	refugee	noun	global_issues	беженец	A person forced to leave their country because of danger or persecution.	Thousands of refugees crossed the border in search of safety.
C1	alliance	noun	global_issues	альянс	A formal agreement between countries or groups to work together.	The military alliance was formed to defend against aggression.
C1	preliminary	adjective	process	предварительный	Happening before the main event; preparing for something.	She passed the preliminary round and advanced to the final.
C1	subsequent	adjective	process	последующий	Coming after something else in time or order.	The initial treatment was successful and subsequent tests showed improvement.
C1	interim	adjective	process	промежуточный/временный	Temporary, until something permanent is established.	She was appointed interim manager while the permanent role was filled.
C1	forthcoming	adjective	process	предстоящий	About to happen or appear soon.	He was reluctant to give details about the forthcoming announcement.
C1	comprehensive	adjective	process	всесторонний	Including all or nearly all aspects of something.	They carried out a comprehensive review of safety procedures.
C1	mandatory	adjective	process	обязательный	Required by law or a rule.	Wearing a seatbelt is mandatory in all vehicles.
C1	criteria	noun	process	критерии	Standards by which something is judged or decided.	Applicants must meet all the criteria to be considered for the role.
C1	protocol	noun	process	протокол/правила	A set of rules about the correct way to behave in a formal situation.	She followed the diplomatic protocol when greeting the ambassador.
C1	implement	verb	process	внедрять	To put a plan or decision into action.	The school implemented a new grading system this term.
C1	monitor	verb	process	контролировать	To watch and check something over a period of time.	Doctors monitored his condition carefully throughout the night.
C1	aspiration	noun	personal_advanced	стремление	A strong hope or desire to achieve something great.	Her aspiration was to become the first woman to lead the company.
C1	integrity	noun	personal_advanced	честность/цельность	The quality of being honest and having strong moral principles.	He was known for his personal integrity and never took bribes.
C1	resilience	noun	personal_advanced	устойчивость/стойкость	The ability to recover quickly from difficulties.	Her resilience in the face of illness inspired everyone around her.
C1	perseverance	noun	personal_advanced	настойчивость	Continued effort to do something despite difficulty.	Her perseverance finally paid off when she passed the exam at the third attempt.
C1	empathy	noun	personal_advanced	эмпатия	The ability to understand and share the feelings of another person.	She showed great empathy when listening to her friend's problems.
C1	compassion	noun	personal_advanced	сострадание	A feeling of pity and desire to help someone who is suffering.	The nurse's compassion made a difficult situation much easier to bear.
C1	humility	noun	personal_advanced	скромность	The quality of not thinking you are better than others.	His success never diminished his natural humility.
C1	dilemma	noun	personal_advanced	дилемма	A situation in which you must choose between two difficult options.	She faced a dilemma between accepting the promotion and caring for her family.
C1	autonomy	noun	personal_advanced	автономия	The right or ability to make your own decisions.	Students need some autonomy to develop critical thinking skills.
C1	resolve	noun	personal_advanced	решимость	Firm determination to do something.	She faced every setback with remarkable resolve and never gave up.
C1	predominant	adjective	patterns	преобладающий	The most common or noticeable in a group.	The predominant feeling in the room was one of relief.
C1	intrinsic	adjective	patterns	внутренний/присущий	Part of the basic nature of something; essential.	Hard work has intrinsic value regardless of external reward.
C1	inherent	adjective	patterns	неотъемлемый	Existing as a permanent or essential quality of something.	There is an inherent tension between freedom and security.
C1	chronic	adjective	patterns	хронический	Persisting for a long time; constantly recurring.	She has suffered from chronic back pain for ten years.
C1	acute	adjective	patterns	острый	Very serious or severe; sharp.	The hospital was dealing with an acute shortage of nurses.
C1	subtle	adjective	patterns	тонкий/едва заметный	Not obvious; difficult to notice.	There was a subtle change in his tone that made her suspicious.
C1	rigorous	adjective	patterns	строгий/тщательный	Extremely thorough and careful.	The research was based on rigorous scientific methodology.
C1	ambivalent	adjective	patterns	амбивалентный	Having mixed or contradictory feelings about something.	She felt ambivalent about moving abroad — excited but also fearful.
C1	erode	verb	patterns	разрушать (постепенно)	To gradually destroy or weaken something.	Years of corruption had eroded trust in the political system.
C1	facilitate	verb	patterns	способствовать/облегчать	To make a process easier or more possible.	The new law is designed to facilitate access to healthcare.
C1	suppress	verb	social_advanced	подавлять	To prevent something from being known or from happening.	The authorities tried to suppress information about the accident.
C1	invoke	verb	social_advanced	ссылаться/призывать	To cite a law or principle as a reason for doing something.	The lawyer invoked the right to silence on behalf of his client.
C1	endorse	verb	social_advanced	одобрять/поддерживать	To officially approve or support something.	Several celebrities endorsed the charity campaign on social media.
C1	denounce	verb	social_advanced	осуждать	To publicly declare something to be wrong or evil.	Human rights groups denounced the treatment of prisoners.
C1	overwhelm	verb	social_advanced	подавлять/захлёстывать	To have a very strong effect on someone; to defeat completely.	She was overwhelmed by the kindness shown to her after her loss.
C1	portray	verb	arts_c1	изображать	To represent or describe someone or something in a particular way.	The film portrays the war through the eyes of ordinary soldiers.
C1	depict	verb	arts_c1	изображать (визуально)	To show or describe something in a picture or piece of writing.	The painting depicts a busy market scene in nineteenth-century Paris.
C1	narrate	verb	arts_c1	рассказывать	To tell a story, often as a voiceover or in writing.	She narrated the documentary about endangered ocean species.
C1	critique	noun	arts_c1	критический разбор	A detailed analysis and assessment of a work of art or literature.	He wrote a lengthy critique of the novel for the literary magazine.
C1	genre	noun	arts_c1	жанр	A particular type or category of art, music, or literature.	Her novels blend the genre of detective fiction with historical drama.
C1	satirical	adjective	arts_c1	сатирический	Using irony or ridicule to expose and criticise foolishness.	The satirical cartoon mocked the government policy effectively.
C1	protagonist	noun	arts_c1	главный герой	The main character in a story or play.	The protagonist struggles throughout the novel to find his true identity.
C1	narrative	noun	arts_c1	повествование	A story or account of events; the way a story is told.	The film uses a non-linear narrative that jumps back and forth in time.
C1	aesthetic	noun	arts_c1	эстетика	A set of principles about the nature of beauty in art.	The minimalist aesthetic of the gallery made the paintings stand out.
C1	provocative	adjective	arts_c1	провокационный	Deliberately causing strong reactions or emotions.	The provocative artwork sparked intense debate about freedom of expression.
C1	inescapable	adjective	logic_c1	неизбежный/неотвратимый	Impossible to avoid or deny; unavoidable.	The inescapable conclusion from the data is that the policy has failed.
C1	arbitrary	adjective	logic_c1	произвольный	Based on random choice rather than reason or logic.	The decision seemed completely arbitrary and impossible to justify.
C1	contradictory	adjective	logic_c1	противоречивый	Containing contradictions; saying the opposite of what is expected.	The two reports contained contradictory findings on the same subject.
C1	plausible	adjective	logic_c1	правдоподобный	Seeming reasonable or probable; credible.	She offered a plausible explanation for why she had been absent.
C1	speculative	adjective	logic_c1	предположительный	Based on guesses rather than known facts.	The article was highly speculative and offered little hard evidence.
C1	tangible	adjective	logic_c1	ощутимый/реальный	Able to be touched; clear and definite; real.	The training programme produced tangible results within six months.
C1	discredit	verb	logic_c1	дискредитировать	To cause someone or something to lose respect or trust.	The opposing team tried to discredit the research by questioning its methodology.
C1	underpin	verb	logic_c1	обосновывать/подкреплять	To support or form the basis of an argument or system.	Several key assumptions underpin the entire theory.
C1	mitigate	verb	logic_c1	смягчать	To make something less harmful or serious.	Trees help to mitigate the effects of urban heat islands.
C1	assess	verb	process_c1	оценивать	To consider something carefully and make a judgement about it.	The teacher assessed each student using both written and oral tests.
C1	allocate	verb	process_c1	распределять	To give something to someone for a specific purpose.	The budget was allocated equally between the three departments.
C1	coordinate	verb	process_c1	координировать	To organise different activities so they work together efficiently.	She coordinated the volunteers who helped at the annual charity event.
C1	initiative	noun	process_c1	инициатива	A new plan or action to deal with a particular problem.	The government launched a new initiative to reduce youth unemployment.
C1	framework	noun	process_c1	основа/структура	A set of rules or ideas that provides the structure for something.	The report provides a framework for thinking about digital privacy.
C1	mechanism	noun	process_c1	механизм	A method or system for achieving a particular result.	The law provides a mechanism for resolving disputes between tenants.
C1	hierarchy	noun	organisation	иерархия	A system in which people are ranked one above another.	The strict hierarchy in the company made it hard for junior staff to speak up.
C1	bureaucracy	noun	organisation	бюрократия	A system of government with many complicated rules and processes.	Reformers wanted to cut through the bureaucracy that slowed decision-making.
C1	accountability	noun	organisation	подотчётность	The fact of being responsible and required to explain your actions.	Greater accountability is needed in the way public money is spent.
C1	transparency	noun	organisation	прозрачность	Openness and honesty about how decisions are made.	The new director promised full transparency in all financial dealings.
C1	consensus	noun	organisation	консенсус	A general agreement among a group of people.	The committee reached a consensus after several hours of discussion.
C1	coordination	noun	organisation	координация	The process of organising activities to work together efficiently.	Effective coordination between departments is essential for project success.
